class_name,common_name,cause,symptoms,treatment,prevention
Apple___Apple_scab,Apple Scab,Fungus – Venturia inaequalis,"Olive-green to brown velvety lesions on leaves and fruit; premature leaf drop; fruit cracks and deforms.","Apply fungicides (myclobutanil / captan / mancozeb) at green-tip stage and every 7–14 days during wet weather. Remove and destroy fallen leaves. Prune for better canopy airflow.","Plant scab-resistant apple varieties (Liberty / Redfree / Enterprise). Rake and compost or burn fallen leaves in autumn. Avoid overhead irrigation."
Apple___Black_rot,Apple Black Rot,Fungus – Botryosphaeria obtusa,"Circular brown lesions on fruit enlarging and turning black; frog-eye leaf spots with purple border and tan center; cankers on branches.","Prune and destroy infected branches at least 15 cm below visible canker. Apply captan or thiophanate-methyl during the growing season. Remove all mummified fruit from tree and ground.","Maintain tree vigor with balanced fertilization and irrigation. Avoid wounding bark and seal any wounds with pruning paint. Scout orchards regularly from pink bud to harvest."
Apple___Cedar_apple_rust,Cedar Apple Rust,Fungus – Gymnosporangium juniperi-virginianae (requires apple and eastern red cedar as hosts),"Bright orange-yellow spots on upper leaf surface; tube-like spore structures (aecia) on leaf undersides; fruit lesions cause misshapen apples.","Apply myclobutanil or propiconazole fungicide from pink bud through petal fall. Remove nearby Eastern red cedar or juniper trees if feasible. Repeat sprays every 7–10 days during wet spring weather.","Choose rust-resistant apple cultivars (Freedom / Redfree / Goldrush). Avoid planting apples near junipers or cedars. Monitor weather – infections peak during warm wet spring periods."
Apple___healthy,Healthy Apple,No disease detected,"Leaves are uniformly green with no lesions, spots, or deformities. Fruit develops normally.","No treatment needed. Continue regular care.","Maintain balanced NPK fertilization. Prune annually for good airflow. Scout weekly for early pest and disease signs."
Blueberry___healthy,Healthy Blueberry,No disease detected,"Vibrant green foliage with no spots, wilting, or discoloration. Strong healthy canes.","No treatment needed.","Maintain soil pH 4.5–5.5. Mulch to retain moisture and suppress weeds. Prune old canes every 2–3 years."
Cherry_(including_sour)___Powdery_mildew,Cherry Powdery Mildew,Fungus – Podosphaera clandestina,"White powdery coating on young leaves and shoots; affected leaves curl and turn brown; fruit may show russeting and cracking.","Spray sulfur-based or potassium bicarbonate fungicide at first sign. Apply myclobutanil or trifloxystrobin for severe infections. Remove and destroy heavily infected shoots immediately.","Plant in full sun with good air circulation. Avoid excess nitrogen which promotes lush succulent growth. Use resistant varieties where available."
Cherry_(including_sour)___healthy,Healthy Cherry,No disease detected,"Dark green glossy leaves with no spots, powdery residue, or discoloration. Good fruit set.","No treatment needed.","Annual pruning to maintain open canopy. Monitor for aphids and leaf spot regularly."
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Corn Gray Leaf Spot,Fungus – Cercospora zeae-maydis,"Rectangular gray to tan lesions running parallel to leaf veins with yellow halos; severe infection causes large areas of dead tissue and premature leaf death.","Apply strobilurin or triazole fungicides at tasseling if disease pressure is high. Ensure adequate plant spacing for airflow. Avoid excessive nitrogen applications which increase susceptibility.","Use resistant hybrid varieties rated for GLS tolerance. Rotate corn with non-host crops (soybean / wheat) for at least one year. Minimize crop residue through tillage or residue management."
Corn_(maize)___Common_rust_,Common Corn Rust,Fungus – Puccinia sorghi,"Small oval brick-red to brown pustules on both leaf surfaces; heavy infection causes leaves to turn yellow and die prematurely; significant yield loss in severe cases.","Apply triazole or strobilurin fungicide at early pustule stage. No effective cultural control once established so focus on prevention. Remove and destroy severely infected volunteer corn plants.","Plant rust-resistant hybrids with good rust ratings. Early planting helps avoid peak rust season. Monitor fields weekly during warm humid weather conditions."
Corn_(maize)___Northern_Leaf_Blight,Northern Corn Leaf Blight,Fungus – Exserohilum turcicum,"Long cigar-shaped gray-green to tan lesions (5–15 cm) starting on lower leaves and progressing upward; heavy infection can cause total defoliation before grain fill.","Apply propiconazole or azoxystrobin fungicide at early infection stage. Improve field drainage and airflow. Remove and till under crop residue immediately after post-harvest.","Choose resistant hybrids with Ht gene ratings. Rotate with soybean or small grains annually. Avoid overhead irrigation especially in the evening."
Corn_(maize)___healthy,Healthy Corn,No disease detected,"Upright dark green leaves with no lesions spots or discoloration. Strong stalks and healthy ear development.","No treatment needed.","Maintain balanced NPK fertilization. Scout fields from V6 stage through tasseling weekly."
Grape___Black_rot,Grape Black Rot,Fungus – Guignardia bidwellii,"Circular tan lesions with dark borders on leaves; infected berries shrivel into hard wrinkled black mummies; shoot and tendril lesions appear as black cankers.","Apply mancozeb / myclobutanil / captan from bud break through veraison every 7–14 days. Remove and destroy all mummified berries and infected canes. Improve trellis training for better air circulation through the canopy.","Remove all mummies before bud break each spring. Maintain open canopy with shoot positioning and leaf removal. Apply protective fungicide sprays on schedule during wet weather."
Grape___Esca_(Black_Measles),Grape Esca / Black Measles,"Fungal complex – Phaeomoniella chlamydospora, Phaeoacremonium spp., Fomitiporia spp.","Tiger-stripe yellow and red leaf discoloration; dark spots on berries causing cracking and off-flavors; internal wood shows dark streaking and necrosis when cut open.","No curative treatment exists and infected vines eventually decline. Trunk injection of fosetyl-aluminum may slow progression temporarily. Remove and destroy severely affected vines promptly to prevent spread.","Prune during dry weather and seal all cuts immediately with fungicidal wound paste. Use certified disease-free planting material only. Avoid large pruning wounds using double-pruning technique."
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Grape Isariopsis Leaf Spot,Fungus – Pseudocercospora vitis,"Angular dark brown spots on upper leaf surface defined by leaf veins; olive-green to dark gray velvety fungal growth on leaf underside; severe infection causes early defoliation.","Apply copper-based or mancozeb fungicide at first sign of symptoms. Improve air circulation through canopy management and shoot thinning. Remove heavily infected leaves and destroy them away from the vineyard.","Avoid excessive canopy density through proper training and pruning. Do not use overhead irrigation as wet foliage promotes infection. Apply preventive fungicide sprays during humid periods."
Grape___healthy,Healthy Grape,No disease detected,"Lush green leaves with no spots, discoloration, or powdery residue. Good fruit cluster development.","No treatment needed.","Annual canopy management and shoot thinning. Regular monitoring for early pest and disease detection."
Orange___Haunglongbing_(Citrus_greening),Citrus Greening (HLB),Bacterium – Candidatus Liberibacter asiaticus spread by Asian citrus psyllid (Diaphorina citri),"Asymmetric blotchy yellow mottling on leaves that does not wash off; lopsided bitter green fruit that fails to color; twig dieback starting at top of canopy; stunted growth and eventual tree death.","No cure exists and infected trees eventually die. Oxytetracycline trunk injection may temporarily suppress symptoms. Remove and destroy infected trees immediately to prevent psyllid spread. Control psyllid vector aggressively with imidacloprid or spinosad insecticides.","Plant only certified HLB-free nursery stock from registered nurseries. Monitor and control Asian citrus psyllid populations with systemic insecticides and biological agents. Quarantine all new plant material before introducing to established orchard."
Peach___Bacterial_spot,Peach Bacterial Spot,Bacterium – Xanthomonas arboricola pv. pruni,"Water-soaked spots on leaves turning angular brown lesions with yellow halos; severe infection causes defoliation; fruit shows cracked scabby lesions that reduce marketability significantly.","Apply copper hydroxide or oxytetracycline sprays from shuck split through harvest every 7–10 days. Prune to improve air circulation and reduce humidity within the canopy. Avoid all overhead irrigation during the growing season.","Plant resistant varieties (Contender / Redhaven / Reliance). Site orchards to minimize wind-driven rain impact on foliage. Apply dormant copper sprays before bud swell each spring."
Peach___healthy,Healthy Peach,No disease detected,"Glossy green leaves with no spots or lesions. Smooth unblemished fruit with good color development.","No treatment needed.","Annual thinning and pruning for open-center canopy shape. Preventive copper spray each spring before bud break."
Pepper,_bell___Bacterial_spot,Bell Pepper Bacterial Spot,Bacterium – Xanthomonas euvesicatoria,"Water-soaked lesions turning dark brown with yellow halos on leaves; raised scabby spots on fruit surface; severe infections cause extensive defoliation and significant yield loss.","Apply copper-based bactericide plus mancozeb mixture weekly during wet weather. Remove infected plant debris immediately from the field. Avoid working in fields when plants are wet to prevent mechanical spread.","Use certified disease-free seed or transplants from trusted suppliers. Rotate peppers with non-solanaceous crops for 2–3 years. Plant resistant varieties and use drip irrigation instead of overhead."
Pepper,_bell___healthy,Healthy Bell Pepper,No disease detected,"Deep green waxy leaves with no spots or deformities. Firm unblemished fruit with good development.","No treatment needed.","Consistent soil moisture management to avoid plant stress. Weekly scouting for pests and early disease signs."
Potato___Early_blight,Potato Early Blight,Fungus – Alternaria solani,"Brown to black concentric ring lesions creating a target-board pattern on older lower leaves first; lesions surrounded by yellow halo; severe infection causes defoliation from bottom up.","Apply chlorothalonil / mancozeb / azoxystrobin fungicide every 7–10 days starting when first lesions appear. Remove and destroy infected lower leaves promptly. Ensure adequate potassium nutrition to strengthen plant resistance.","Use certified disease-free seed potatoes from reliable suppliers. Rotate potatoes with non-solanaceous crops for at least 2 years. Avoid moisture stress as it predisposes plants to early blight infection."
Potato___Late_blight,Potato Late Blight,Oomycete – Phytophthora infestans (caused the Irish Potato Famine of 1840s),"Pale green water-soaked lesions rapidly turning dark brown to black; white fuzzy sporulation visible on leaf underside in humid conditions; stems turn brown and collapse; disease spreads explosively in cool wet weather.","Act immediately as disease spreads explosively. Apply mancozeb / cymoxanil / metalaxyl+mancozeb every 5–7 days. Destroy infected haulm before tuber harvest to protect tubers from infection. Never compost infected material – burn or deep bury at least 50 cm.","Plant certified blight-free seed potatoes each season. Use resistant varieties (Sarpo Mira / Innovator / Defender). Monitor forecasting tools like BlightCast and spray before infection events during wet weather."
Potato___healthy,Healthy Potato,No disease detected,"Upright dark green compound leaves with no lesions spots or yellowing. Good stem development and canopy cover.","No treatment needed.","Use certified seed potatoes each season without exception. Monitor irrigation carefully to avoid water-logging which stresses plants."
Raspberry___healthy,Healthy Raspberry,No disease detected,"Vigorous green canes and trifoliate leaves with no spots rust or wilting. Good lateral branching.","No treatment needed.","Remove all old fruiting canes after harvest each year. Keep rows narrow (45–60 cm) for maximum airflow."
Soybean___healthy,Healthy Soybean,No disease detected,"Uniformly green trifoliate leaves with no spots wilting or discoloration. Good pod set and filling.","No treatment needed.","Rotate with corn or small grains annually. Use certified seed with seed treatment fungicide each season."
Squash___Powdery_mildew,Squash Powdery Mildew,"Fungus – Podosphaera xanthii, Erysiphe cichoracearum","White powdery fungal patches on upper and lower leaf surfaces starting on older leaves; affected leaves turn yellow then brown and die prematurely; reduced fruit quality and yield.","Apply potassium bicarbonate / sulfur / neem oil spray at first sign of infection. Use systemic fungicides (myclobutanil / trifloxystrobin) for severe established infections. Remove heavily infected leaves to reduce inoculum load in the field.","Plant resistant varieties whenever available. Space plants widely to maximize airflow between plants. Avoid excess nitrogen fertilization which promotes lush succulent susceptible growth."
Strawberry___Leaf_scorch,Strawberry Leaf Scorch,Fungus – Diplocarpon earlianum,"Numerous small dark purple to red spots on upper leaf surface; centers remain purple unlike leaf spot which turns tan; leaves develop scorched appearance and die; severe infection causes significant defoliation.","Apply captan or myclobutanil fungicide every 10–14 days throughout the growing season. Remove all old foliage during renovation mowing after harvest. Avoid overhead irrigation to keep foliage as dry as possible.","Plant resistant varieties suited to your region. Ensure good drainage and maximum airflow between plants. Renovate beds by mowing thinning and fertilizing immediately after each harvest."
Strawberry___healthy,Healthy Strawberry,No disease detected,"Bright green trifoliate leaves with no spots rust or tip burn. Good runner production and fruit set.","No treatment needed.","Renovate beds annually immediately post-harvest. Mulch with straw to prevent soil splash onto foliage and fruit."
Tomato___Bacterial_spot,Tomato Bacterial Spot,Bacterium – Xanthomonas vesicatoria,"Small water-soaked spots on leaves rapidly turning dark brown with yellow halos; spots may fall out leaving ragged holes; raised scabby lesions on fruit greatly reduce marketability.","Apply copper bactericide plus mancozeb mixture every 5–7 days during wet weather. Avoid working in fields when foliage is wet to prevent mechanical spread on hands and tools. Remove and destroy all severely infected plant material immediately.","Use disease-free certified seed or transplants from reputable suppliers only. Rotate with non-solanaceous crops (corn / beans / cucurbits) for at least 2 years. Use drip irrigation exclusively rather than overhead sprinklers."
Tomato___Early_blight,Tomato Early Blight,Fungus – Alternaria solani,"Dark brown concentric ring lesions creating distinct target pattern on older lower leaves; progresses rapidly upward through canopy; collar rot may occur at stem base of seedlings in wet conditions.","Apply chlorothalonil / mancozeb / copper fungicide every 7–10 days from first symptom appearance. Remove infected lower leaves promptly at each visit. Stake plants and apply mulch to soil surface to reduce rain splash dispersal of spores.","Use certified disease-free transplants from reliable nurseries. Rotate tomatoes with non-solanaceous crops (corn / beans) for minimum 2 years. Avoid all overhead irrigation and water early in day if unavoidable."
Tomato___Late_blight,Tomato Late Blight,Oomycete – Phytophthora infestans,"Large irregular greasy-looking dark olive to brown lesions on leaves and stems appearing suddenly; white sporulation visible on lesion edges in humid conditions; entire plant can collapse within days in cool wet weather.","Apply mancozeb or chlorothalonil immediately at very first sign of infection. Switch to metalaxyl+mancozeb or cymoxanil for confirmed late blight outbreaks. Destroy all infected plants immediately by burning – never compost infected material under any circumstances.","Use resistant varieties (Legend / Defiant / Mountain Merit). Avoid all overhead irrigation and ensure excellent drainage. Monitor local blight forecast services and apply preventive sprays before predicted infection events."
Tomato___Leaf_Mold,Tomato Leaf Mold,Fungus – Passalora fulva (formerly Fulvia fulva),"Pale green to yellow diffuse spots on upper leaf surface; distinctive olive-green to brown velvety mold growth on corresponding leaf underside; severe infection causes leaf curl and defoliation; primarily a greenhouse problem.","Improve greenhouse ventilation to reduce relative humidity below 85% by combining heating with air circulation. Apply copper / chlorothalonil / mancozeb fungicide at first sign. Remove all severely affected leaves and destroy them outside the greenhouse.","Use resistant greenhouse tomato varieties with Cf resistance genes. Space plants adequately and train to single stem for maximum airflow. Maintain relative humidity below 85% at all times using heating and ventilation management."
Tomato___Septoria_leaf_spot,Tomato Septoria Leaf Spot,Fungus – Septoria lycopersici,"Numerous small circular spots with dark brown borders and light gray or tan centers on lower leaves first; tiny black dots (pycnidia) visible in lesion centers with hand lens; severe infection causes complete defoliation from bottom upward.","Apply chlorothalonil / mancozeb / copper fungicide every 7–10 days beginning at first symptom detection. Remove and destroy infected lower leaves at every field visit. Stake plants and apply mulch to prevent soil splash which disperses spores to lower leaves.","Rotate with non-solanaceous crops for minimum 2 years between tomato crops. Use drip irrigation to keep all foliage completely dry during the season. Destroy all tomato plant debris thoroughly at end of every season."
Tomato___Spider_mites Two-spotted_spider_mite,Tomato Two-Spotted Spider Mite,Arachnid pest – Tetranychus urticae,"Fine stippling and bronzing on upper leaf surface caused by cell feeding; fine silken webbing visible on leaf underside; leaves become papery and desiccated; populations explode rapidly during hot dry weather causing rapid crop loss.","Apply miticide (bifenazate / abamectin / spiromesifen) rotating between different modes of action to prevent resistance. Release predatory mites (Phytoseiulus persimilis) for biological control in greenhouse situations. Apply strong water sprays to leaf undersides to physically knock off mites and destroy webbing.","Avoid moisture stress as drought-stressed plants are far more susceptible to mite outbreaks. Preserve natural predator populations by minimizing use of broad-spectrum insecticides. Monitor with sticky traps and conduct weekly leaf inspections especially during hot dry periods."
Tomato___Target_Spot,Tomato Target Spot,Fungus – Corynespora cassiicola,"Brown lesions with distinct concentric rings creating target-board pattern on leaves stems and fruit; fruit lesions are often sunken and allow secondary rot organisms to enter; defoliation in severe cases reduces yield significantly.","Apply azoxystrobin / chlorothalonil / mancozeb fungicide at early infection detection. Remove and destroy heavily infected leaves immediately. Improve plant spacing and staking for maximum airflow through the canopy.","Avoid dense overcrowded planting arrangements. Use drip irrigation to keep foliage dry throughout the season. Rotate with non-host crops each season and destroy all crop debris after harvest."
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato Yellow Leaf Curl Virus (TYLCV),Begomovirus transmitted exclusively by silverleaf whitefly (Bemisia tabaci),"Upward cupping and curling of leaves with yellowing of leaf margins and interveinal areas; plant stunting and bushy appearance; flower drop causes severe yield loss; infected fruit remains small and poor quality.","No cure once infected – remove and destroy all infected plants immediately to prevent whitefly transmission to healthy plants. Control whitefly vector aggressively with imidacloprid / pymetrozine / spirotetramat insecticides. Use reflective silver polyethylene mulches to deter and disorient whitefly adults.","Plant only TYLCV-resistant varieties (Shanty / Anastasia / Tyking). Use fine insect-proof mesh (50-mesh) in greenhouses to physically exclude whiteflies. Destroy all crop residues immediately after harvest to break the whitefly population cycle."
Tomato___Tomato_mosaic_virus,Tomato Mosaic Virus (ToMV),Tobamovirus transmitted primarily by mechanical contact via contaminated tools hands and clothing,"Mosaic pattern of alternating light and dark green areas on leaves; leaf distortion and fern-like narrowing; stunted plant growth; mottled or necrotic patches on fruit reduce marketability; symptoms worsen in high temperatures.","No chemical cure exists for viral infections. Remove and destroy all infected plants immediately upon detection. Disinfect all tools with 10% bleach solution or 70% isopropyl alcohol between every plant contact.","Use TMV-resistant varieties carrying the Tm-2² resistance gene. Start only with virus-indexed certified seed from reliable suppliers. Wash hands thoroughly before handling plants and never smoke or use tobacco products near tomato crops as tobacco carries ToMV."
Tomato___healthy,Healthy Tomato,No disease detected,"Deep green healthy leaves with no lesions curling or discoloration. Strong stems and good fruit set with normal development.","No treatment needed.","Scout plants every 3–5 days for early detection of any problems. Maintain consistent irrigation and balanced fertilization throughout the season. Rotate crops each season without exception."
